DateTime,Name,Country,Volatility,Actual,Previous,Consensus
02/09/2016 16:30:00,4-Week Bill Auction,United States,1,0.260,0.270,
02/09/2016 18:00:00,3-Year Note Auction,United States,1,0.844,1.174,
02/10/2016 14:00:00,Fed's Yellen testifies,United States,3,,,
02/10/2016 18:00:00,10-Year Note Auction,United States,2,1.730,2.090,
02/10/2016 18:30:00,FOMC Member Williams speech,United States,1,,,
02/11/2016 10:56:17,30-y Bond Auction,United Kingdom,1,2.210,2.490,
02/11/2016 13:30:00,Continuing Jobless Claims,United States,1,2.239,2.255,2.250
02/11/2016 13:30:00,Initial Jobless Claims,United States,1,269.000,285.000,281.000
02/11/2016 14:00:00,Eurogroup meeting,European Monetary Union,2,,,
02/11/2016 15:00:00,Fed's Yellen testifies,United States,3,,,
02/11/2016 18:00:00,30-Year Bond Auction,United States,1,2.500,2.905,
02/12/2016 07:45:00,Nonfarm Payrolls (QoQ),France,1,0.200,0.000,
02/12/2016 15:00:00,EcoFin Meeting,European Monetary Union,2,,,
02/12/2016 15:00:00,Fed's William Dudley speech,United States,1,,,
02/15/2016 10:00:00,German Buba Monthly Report,Germany,1,,,
02/15/2016 14:00:00,ECB President Draghi's Speech,European Monetary Union,3,,,
02/16/2016 02:00:00,RBNZ Inflation Expectations (YoY),New Zealand,1,1.600,1.900,
02/16/2016 15:09:07,GDT Price Index,New Zealand,1,-2.800,-7.400,
02/16/2016 16:30:00,3-Month Bill Auction,United States,1,0.300,0.315,
02/16/2016 16:30:00,6-Month Bill Auction,United States,1,0.410,0.420,
02/17/2016 00:00:00,Federal Reserve Bank of Boston President Rosengren Speech,United States,1,,,
02/17/2016 08:00:00,Non-monetary policy's ECB meeting,European Monetary Union,3,,,
02/17/2016 09:30:00,Claimant Count Rate,United Kingdom,2,2.200,2.300,
02/17/2016 09:30:00,Average Earnings including Bonus (3Mo/Yr),United Kingdom,2,1.900,2.000,1.900
02/17/2016 09:30:00,Average Earnings excluding Bonus (3Mo/Yr),United Kingdom,2,2.000,1.900,1.800
02/17/2016 09:30:00,Claimant Count Change,United Kingdom,2,-14.800,-4.300,-3.000
02/17/2016 09:30:00,ILO Unemployment Rate (3M),United Kingdom,2,5.100,5.100,5.000
02/17/2016 10:00:00,10-y Bond Auction,United Kingdom,1,1.590,1.880,
02/17/2016 10:40:27,10-y Bond Auction,Germany,2,0.260,0.590,
02/17/2016 16:30:00,4-Week Bill Auction,United States,1,0.270,0.260,
02/17/2016 19:00:00,FOMC Minutes,United States,3,,,
02/18/2016 00:30:00,Fed's Bullard speech,United States,1,,,
02/18/2016 08:55:00,MPC Member Cunliffe Speech,United Kingdom,1,,,
02/18/2016 12:00:00,European Council meeting,European Monetary Union,2,,,
02/18/2016 12:30:00,ECB Monetary Policy Meeting Accounts,European Monetary Union,3,,,
02/18/2016 13:30:00,Continuing Jobless Claims,United States,2,2.273,2.239,2.250
02/18/2016 13:30:00,Initial Jobless Claims,United States,2,262.000,269.000,275.000
02/18/2016 20:30:00,FOMC Member Williams speech,United States,1,,,
02/19/2016 12:00:00,European Council meeting,European Monetary Union,2,,,
02/19/2016 13:00:00,FOMC Member Mester speech,United States,1,,,
02/22/2016 16:30:00,3-Month Bill Auction,United States,1,0.320,0.300,
02/22/2016 16:30:00,6-Month Bill Auction,United States,1,0.455,0.410,
02/22/2016 18:00:00,ECB's Lautenschläger Speech,European Monetary Union,1,,,
02/23/2016 10:00:00,BOE's Governor Carney speech,United Kingdom,3,,,
02/23/2016 11:15:00,SNB Chairman Jordan Speech,Switzerland,2,,,
02/23/2016 16:30:00,4-Week Bill Auction,United States,1,0.285,0.270,
02/23/2016 17:00:00,MPC Member Haldane Speech,United Kingdom,1,,,
02/23/2016 18:00:00,2-Year Note Auction,United States,1,0.752,0.860,
02/24/2016 01:30:00,Fed's Stanley Fischer speech,United States,2,,,
02/24/2016 10:44:11,30-y Bond Auction,Germany,1,0.770,1.180,
02/24/2016 18:00:00,5-Year Note Auction,United States,1,1.169,1.496,
02/24/2016 18:10:00,MPC Member Cunliffe Speech,United Kingdom,1,,,
02/25/2016 00:00:00,Fed's Bullard speech,United States,1,,,
02/25/2016 13:15:00,Fed's Lockhart speech,United States,1,,,
02/25/2016 13:30:00,Continuing Jobless Claims,United States,1,2.253,2.273,2.260
02/25/2016 13:30:00,Initial Jobless Claims,United States,2,272.000,262.000,270.000
02/25/2016 17:00:00,FOMC Member Williams speech,United States,1,,,
02/26/2016 00:15:00,BOE's Governor Carney speech,United Kingdom,3,,,
02/26/2016 08:15:00,Employment Level (QoQ),Switzerland,1,4.897,4.240,4.240
02/26/2016 10:41:12,10-y Bond Auction,Italy,1,1.500,1.440,
02/26/2016 10:41:16,5-y Bond Auction,Italy,1,0.440,0.420,
02/26/2016 11:00:00,G20 Meeting,European Monetary Union,2,,,
